urn,label,description,link
urn:cite2:exploreHomer:place.v1:place53,Aigai(ai)/Aegeae,"[coordinates=35.789487, 36.769676]
[commenting=""Commander: Menelaos""]
[tagging=""Laconians""]",https://pleiades.stoa.org/places/658368
urn:cite2:exploreHomer:place.v1:place54,Elis,"[coordinates=21.25, 37.75]
[commenting=""Commanders: Amphimakhos, Thalpios, Diores, Polyxenos""]
[tagging=""Elis""]",https://pleiades.stoa.org/places/570221
urn:cite2:hmt:place.v1:place365,Ialysus,"[coordinates=28.15629, 36.41451]
[commenting=""Commander: Tleptolemos""]
[tagging=""Rhodians""]",https://pleiades.stoa.org/places/589815
urn:cite2:exploreHomer:place.v1:place55,Kamiros,"[coordinates=28.15629, 36.41451]
[commenting=""Commander: Tleptolemos""]
[tagging=""Rhodians""]",https://pleiades.stoa.org/places/589836
urn:cite2:hmt:place.v1:place68,Cos,"[coordinates=27.17, 36.844]
[commenting=""Commanders: Pheidippos, Antiphos""]",https://pleiades.stoa.org/places/599581
urn:cite2:hmt:place.v1:place99,Abydus,"[coordinates=26.41122, 40.19406]
[commenting=""Commander: Asios""]",https://pleiades.stoa.org/places/501325
urn:cite2:hmt:place.v1:place191,Cephalonia,"[coordinates=20.59, 38.2]
[commenting=""12""]
[tagging=""Cephallenians""]",https://pleiades.stoa.org/places/530826
urn:cite2:hmt:place.v1:place44,attos,"[coordinates=22.719464, 37.631561]
[commenting=""50""]
[tagging=""Myrmidons""]",https://pleiades.stoa.org/places/570106
urn:cite2:hmt:place.v1:place387,Trikka,"[coordinates=21.762589, 39.558752]
[commenting=""30""]",https://pleiades.stoa.org/places/541163
urn:cite2:hmt:place.v1:place70,Thrace,"[coordinates=25.75, 41.75]
[commenting=""Commanders: Akamas, Peirous""]
[tagging=""Thracians""]",https://pleiades.stoa.org/places/501638
urn:cite2:exploreHomer:place.v1:place54,Elis,"[coordinates=21.25, 37.75]",https://pleiades.stoa.org/places/570221
urn:cite2:hmt:place.v1:place180,Scolus,"[coordinates=23.403247, 38.317722]
[commenting=""Commanders: Arkesilaos, Prothoenor, Klonios""]
[tagging=""Boeotians""]",https://pleiades.stoa.org/places/541106
urn:cite2:exploreHomer:place.v1:place56,Mykalessos,"[coordinates=23.545847, 38.415804]
[commenting=""Commanders: Arkesilaos, Prothoenor, Klonios""]
[tagging=""Boeotians""]",https://pleiades.stoa.org/places/540953
urn:cite2:hmt:place.v1:place147,Anthedon,"[coordinates=23.448834, 38.498583]
[commenting=""Commanders: Arkesilaos, Prothoenor, Klonios""]
[tagging=""Boeotians""]",https://pleiades.stoa.org/places/540639
urn:cite2:hmt:place.v1:place162,Epidarus,"[coordinates=23.079167, 37.596111]
[commenting=""Commanders: Diomedes, Sthenelos, Euryalos""]
[tagging=""Argolis""]",https://pleiades.stoa.org/places/570228
urn:cite2:hmt:place.v1:place218,Sparta,"[coordinates=22.42454, 37.08149]
[commenting=""Commander: Menelaos""]
[tagging=""Laconians""]",https://pleiades.stoa.org/places/570685
urn:cite2:exploreHomer:place.v1:place57,Olenos,"[coordinates=21.640599, 38.153707]
[commenting=""Commander: Thoas""]
[tagging=""Aetolians""]",https://pleiades.stoa.org/places/570528
